date,cases,cartodb_id,province,weekinmonth,monthname,timeframe
1/30/20,0,7,New Brunswick,4,January,January-W4
1/30/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/30/20,0,13,Northwest Territories,4,January,January-W4
1/30/20,0,2,Nova Scotia,4,January,January-W4
1/30/20,1,11,Ontario,4,January,January-W4
1/30/20,0,8,Prince Edward Island,4,January,January-W4
1/30/20,0,1,Quebec,4,January,January-W4
1/30/20,0,3,Saskatchewan,4,January,January-W4
1/30/20,0,9,Yukon,4,January,January-W4
1/30/20,0,12,Nunavut,4,January,January-W4
1/31/20,0,4,Alberta,4,January,January-W4
1/31/20,1,6,British Columbia,4,January,January-W4
1/31/20,0,10,Manitoba,4,January,January-W4
1/31/20,0,7,New Brunswick,4,January,January-W4
1/31/20,0,5,Newfoundland and Labrador,4,January,January-W4
1/31/20,0,13,Northwest Territories,4,January,January-W4
1/31/20,0,2,Nova Scotia,4,January,January-W4
1/31/20,3,11,Ontario,4,January,January-W4
1/31/20,0,8,Prince Edward Island,4,January,January-W4
1/31/20,0,1,Quebec,4,January,January-W4
1/31/20,0,3,Saskatchewan,4,January,January-W4
1/31/20,0,9,Yukon,4,January,January-W4
1/31/20,0,12,Nunavut,4,January,January-W4
2/1/20,0,4,Alberta,1,February,February-W1
2/1/20,1,6,British Columbia,1,February,February-W1
2/1/20,0,10,Manitoba,1,February,February-W1
2/1/20,0,7,New Brunswick,1,February,February-W1
2/1/20,0,5,Newfoundland and Labrador,1,February,February-W1
2/1/20,0,13,Northwest Territories,1,February,February-W1
2/1/20,0,2,Nova Scotia,1,February,February-W1
2/1/20,3,11,Ontario,1,February,February-W1
2/1/20,0,8,Prince Edward Island,1,February,February-W1
2/1/20,0,1,Quebec,1,February,February-W1
2/1/20,0,3,Saskatchewan,1,February,February-W1
2/1/20,0,9,Yukon,1,February,February-W1
2/1/20,0,12,Nunavut,1,February,February-W1
2/2/20,0,4,Alberta,1,February,February-W1
2/2/20,1,6,British Columbia,1,February,February-W1
2/2/20,0,10,Manitoba,1,February,February-W1
2/2/20,0,7,New Brunswick,1,February,February-W1
2/2/20,0,5,Newfoundland and Labrador,1,February,February-W1
2/2/20,0,13,Northwest Territories,1,February,February-W1
2/2/20,0,2,Nova Scotia,1,February,February-W1
2/2/20,3,11,Ontario,1,February,February-W1
2/2/20,0,8,Prince Edward Island,1,February,February-W1
2/2/20,0,1,Quebec,1,February,February-W1
2/2/20,0,3,Saskatchewan,1,February,February-W1
2/2/20,0,9,Yukon,1,February,February-W1
2/2/20,0,12,Nunavut,1,February,February-W1
2/3/20,0,4,Alberta,1,February,February-W1
2/3/20,1,6,British Columbia,1,February,February-W1
2/3/20,0,10,Manitoba,1,February,February-W1
2/3/20,0,7,New Brunswick,1,February,February-W1
2/3/20,0,5,Newfoundland and Labrador,1,February,February-W1
2/3/20,0,13,Northwest Territories,1,February,February-W1
2/3/20,0,2,Nova Scotia,1,February,February-W1
2/3/20,3,11,Ontario,1,February,February-W1
2/3/20,0,8,Prince Edward Island,1,February,February-W1
2/3/20,0,1,Quebec,1,February,February-W1
2/3/20,0,3,Saskatchewan,1,February,February-W1
2/3/20,0,9,Yukon,1,February,February-W1
2/3/20,0,12,Nunavut,1,February,February-W1
2/4/20,0,4,Alberta,1,February,February-W1
2/4/20,1,6,British Columbia,1,February,February-W1
2/4/20,0,10,Manitoba,1,February,February-W1
2/4/20,0,7,New Brunswick,1,February,February-W1
2/4/20,0,5,Newfoundland and Labrador,1,February,February-W1
2/4/20,0,13,Northwest Territories,1,February,February-W1
2/4/20,0,2,Nova Scotia,1,February,February-W1
2/4/20,3,11,Ontario,1,February,February-W1
2/4/20,0,8,Prince Edward Island,1,February,February-W1
2/4/20,0,1,Quebec,1,February,February-W1
2/4/20,0,3,Saskatchewan,1,February,February-W1
2/4/20,0,9,Yukon,1,February,February-W1
2/4/20,0,12,Nunavut,1,February,February-W1
2/5/20,0,4,Alberta,1,February,February-W1
2/5/20,2,6,British Columbia,1,February,February-W1
2/5/20,0,10,Manitoba,1,February,February-W1
2/5/20,0,7,New Brunswick,1,February,February-W1
2/5/20,0,5,Newfoundland and Labrador,1,February,February-W1
2/5/20,0,13,Northwest Territories,1,February,February-W1
2/5/20,0,2,Nova Scotia,1,February,February-W1
2/5/20,3,11,Ontario,1,February,February-W1
2/5/20,0,8,Prince Edward Island,1,February,February-W1
2/5/20,0,1,Quebec,1,February,February-W1
2/5/20,0,3,Saskatchewan,1,February,February-W1
2/5/20,0,9,Yukon,1,February,February-W1
2/5/20,0,12,Nunavut,1,February,February-W1
2/6/20,0,4,Alberta,1,February,February-W1
